,Dates,Time,FB_Adj_Close,FB_y,AAPL_Adj_Close,AAPL_y,AMZN_Adj_Close,AMZN_y,NFLX_Adj_Close,NFLX_y,GOOG_Adj_Close,GOOG_y,VIX
0,2021-01-04,09:30:00,271.1700134277344,0,131.05360412597656,0,3235.080078125,0,528.5234985351562,0,1748.239990234375,0,24.829999923706055
1,2021-01-04,10:30:00,268.32000732421875,0,129.89500427246094,0,3195.239990234375,0,522.75,0,1730.5899658203125,0,26.469999313354492
2,2021-01-04,11:30:00,266.94000244140625,0,128.25,0,3160.614990234375,0,517.260009765625,0,1716.534423828125,0,27.850000381469727
3,2021-01-04,12:30:00,268.4468994140625,1,129.039794921875,1,3180.530029296875,1,519.1627197265625,1,1722.2774658203125,1,26.90999984741211
4,2021-01-04,13:30:00,269.2799987792969,1,128.9600067138672,0,3180.5,0,521.5499877929688,1,1724.39501953125,1,27.25
5,2021-01-04,14:30:00,268.2900085449219,0,129.07000732421875,1,3176.489990234375,0,521.8599853515625,1,1725.0,1,27.489999771118164
6,2021-01-04,15:30:00,268.94000244140625,1,129.41000366210938,1,3186.64990234375,1,522.6699829101562,1,1728.1800537109375,1,26.81999969482422
7,2021-01-05,09:30:00,271.3500061035156,1,131.052001953125,1,3202.5,1,523.6300048828125,1,1738.02001953125,1,26.940000534057617
8,2021-01-05,10:30:00,271.6199951171875,1,130.3800048828125,0,3194.0,0,521.2000122070312,0,1736.8800048828125,0,27.1299991607666
9,2021-01-05,11:30:00,270.2250061035156,0,130.14990234375,0,3190.679931640625,0,518.6599731445312,0,1730.4158935546875,0,26.610000610351562
10,2021-01-05,12:30:00,270.2900085449219,1,130.0449981689453,0,3196.469970703125,1,519.364990234375,1,1734.8299560546875,1,25.8799991607666
11,2021-01-05,13:30:00,271.7099914550781,1,131.11000061035156,1,3216.3798828125,1,521.8499755859375,1,1741.780029296875,1,24.940000534057617
12,2021-01-05,14:30:00,270.7850036621094,0,130.8300018310547,0,3208.481201171875,0,520.8300170898438,0,1735.4949951171875,0,25.579999923706055
13,2021-01-05,15:30:00,270.9700012207031,1,130.9499969482422,1,3218.510009765625,1,520.780029296875,0,1741.5899658203125,1,25.190000534057617
14,2021-01-06,09:30:00,266.5,0,128.95010375976562,0,3182.949951171875,0,507.5899963378906,0,1731.3900146484375,0,22.719999313354492
15,2021-01-06,10:30:00,267.197509765625,1,130.4199981689453,1,3185.739990234375,1,510.739990234375,1,1739.06005859375,1,22.280000686645508
16,2021-01-06,11:30:00,265.9100036621094,0,130.3249969482422,0,3184.655029296875,0,509.5820007324219,0,1727.5999755859375,0,22.530000686645508
17,2021-01-06,12:30:00,265.2049865722656,0,129.24000549316406,0,3179.929931640625,0,509.5199890136719,0,1729.780029296875,1,22.670000076293945
18,2021-01-06,13:30:00,265.0,0,127.80000305175781,0,3160.199951171875,0,508.32000732421875,0,1730.1400146484375,1,24.110000610351562
19,2021-01-06,14:30:00,264.8800048828125,0,127.4800033569336,0,3140.280029296875,0,504.70001220703125,0,1729.3699951171875,0,25.829999923706055
20,2021-01-06,15:30:00,263.30499267578125,0,126.58999633789062,0,3138.010009765625,0,500.260009765625,0,1736.18994140625,1,26.079999923706055
21,2021-01-07,09:30:00,269.3514099121094,1,129.83009338378906,1,3195.31201171875,1,511.8699951171875,1,1768.2550048828125,1,22.75
22,2021-01-07,10:30:00,269.3299865722656,0,130.55999755859375,1,3192.909912109375,0,509.17498779296875,0,1765.8800048828125,0,22.5
23,2021-01-07,11:30:00,267.9670104980469,0,130.05999755859375,0,3190.610107421875,0,508.3028869628906,0,1770.4610595703125,1,22.770000457763672
24,2021-01-07,12:30:00,267.8500061035156,0,130.36000061035156,1,3199.699951171875,1,507.69000244140625,0,1777.4300537109375,1,22.780000686645508
25,2021-01-07,13:30:00,268.54998779296875,1,130.61680603027344,1,3196.679931640625,0,510.5,1,1770.02001953125,0,22.729999542236328
26,2021-01-07,14:30:00,269.760009765625,1,131.2100067138672,1,3193.385009765625,0,510.489990234375,0,1777.9825439453125,1,22.389999389648438
27,2021-01-07,15:30:00,268.6300048828125,0,130.86000061035156,0,3161.5,0,508.7900085449219,0,1787.25,1,22.469999313354492
28,2021-01-08,09:30:00,263.8800048828125,0,130.3800048828125,0,3148.080078125,0,505.1400146484375,0,1776.550048828125,0,22.239999771118164
29,2021-01-08,10:30:00,264.4700012207031,1,131.07000732421875,1,3159.010009765625,1,508.6499938964844,1,1778.7249755859375,1,21.940000534057617
30,2021-01-08,11:30:00,266.07000732421875,1,132.15499877929688,1,3159.0,0,511.5,1,1783.1500244140625,1,21.68000030517578
