,Open,High,Low,Close,Adj Close,Volume,date,Dates,Time
0,540.7999877929688,540.7999877929688,527.630126953125,528.5234985351562,528.5234985351562,997379,2021-01-04 09:30:00-05:00,2021-01-04,09:30:00
1,528.1300048828125,528.78662109375,521.0700073242188,522.75,522.75,715529,2021-01-04 10:30:00-05:00,2021-01-04,10:30:00
2,522.5900268554688,524.1199951171875,515.3400268554688,517.260009765625,517.260009765625,607387,2021-01-04 11:30:00-05:00,2021-01-04,11:30:00
3,516.6699829101562,519.7899780273438,515.0850219726562,519.1627197265625,519.1627197265625,400041,2021-01-04 12:30:00-05:00,2021-01-04,12:30:00
4,519.1500244140625,522.8599853515625,518.5,521.5499877929688,521.5499877929688,347095,2021-01-04 13:30:00-05:00,2021-01-04,13:30:00
5,521.3201293945312,523.3800048828125,519.7999877929688,521.8599853515625,521.8599853515625,339765,2021-01-04 14:30:00-05:00,2021-01-04,14:30:00
6,521.7213745117188,524.0399780273438,520.9299926757812,522.6699829101562,522.6699829101562,484624,2021-01-04 15:30:00-05:00,2021-01-04,15:30:00
7,521.5499877929688,526.780029296875,518.8099975585938,523.6300048828125,523.6300048828125,790940,2021-01-05 09:30:00-05:00,2021-01-05,09:30:00
8,523.7100219726562,525.4822998046875,518.5,521.2000122070312,521.2000122070312,381913,2021-01-05 10:30:00-05:00,2021-01-05,10:30:00
9,521.239990234375,521.72998046875,515.8900146484375,518.6599731445312,518.6599731445312,480451,2021-01-05 11:30:00-05:00,2021-01-05,11:30:00
10,518.7100219726562,520.02001953125,517.7249755859375,519.364990234375,519.364990234375,210088,2021-01-05 12:30:00-05:00,2021-01-05,12:30:00
11,519.5499877929688,522.0,519.5499877929688,521.8499755859375,521.8499755859375,228849,2021-01-05 13:30:00-05:00,2021-01-05,13:30:00
12,522.0,523.9298706054688,520.8300170898438,520.8300170898438,520.8300170898438,307544,2021-01-05 14:30:00-05:00,2021-01-05,14:30:00
13,520.760009765625,522.14501953125,519.5700073242188,520.780029296875,520.780029296875,339438,2021-01-05 15:30:00-05:00,2021-01-05,15:30:00
14,510.0,511.0,503.5,507.5899963378906,507.5899963378906,1508263,2021-01-06 09:30:00-05:00,2021-01-06,09:30:00
15,507.5249938964844,511.25,506.7538146972656,510.739990234375,510.739990234375,683968,2021-01-06 10:30:00-05:00,2021-01-06,10:30:00
16,510.79998779296875,511.3529052734375,507.82000732421875,509.5820007324219,509.5820007324219,361976,2021-01-06 11:30:00-05:00,2021-01-06,11:30:00
17,509.9599914550781,510.6499938964844,507.9100036621094,509.5199890136719,509.5199890136719,296482,2021-01-06 12:30:00-05:00,2021-01-06,12:30:00
18,509.70001220703125,513.0997924804688,508.32000732421875,508.32000732421875,508.32000732421875,528902,2021-01-06 13:30:00-05:00,2021-01-06,13:30:00
19,508.3500061035156,509.864990234375,502.9700012207031,504.70001220703125,504.70001220703125,574379,2021-01-06 14:30:00-05:00,2021-01-06,14:30:00
20,504.67999267578125,505.0,499.5,500.260009765625,500.260009765625,923917,2021-01-06 15:30:00-05:00,2021-01-06,15:30:00
21,508.2799987792969,516.4199829101562,508.2626037597656,511.8699951171875,511.8699951171875,1042929,2021-01-07 09:30:00-05:00,2021-01-07,09:30:00
22,512.0700073242188,512.7000122070312,507.54998779296875,509.17498779296875,509.17498779296875,555753,2021-01-07 10:30:00-05:00,2021-01-07,10:30:00
23,509.1000061035156,510.8299865722656,506.4200134277344,508.3028869628906,508.3028869628906,440362,2021-01-07 11:30:00-05:00,2021-01-07,11:30:00
24,508.2922058105469,509.489990234375,507.3116149902344,507.69000244140625,507.69000244140625,191715,2021-01-07 12:30:00-05:00,2021-01-07,12:30:00
25,507.69000244140625,512.1199951171875,507.5816955566406,510.5,510.5,247823,2021-01-07 13:30:00-05:00,2021-01-07,13:30:00
26,510.42999267578125,511.69000244140625,509.489990234375,510.489990234375,510.489990234375,198100,2021-01-07 14:30:00-05:00,2021-01-07,14:30:00
27,510.489990234375,510.7049865722656,508.0350036621094,508.7900085449219,508.7900085449219,393429,2021-01-07 15:30:00-05:00,2021-01-07,15:30:00
28,511.30999755859375,513.239990234375,504.510009765625,505.1400146484375,505.1400146484375,684571,2021-01-08 09:30:00-05:00,2021-01-08,09:30:00
29,505.2900085449219,510.5199890136719,505.1000061035156,508.6499938964844,508.6499938964844,320194,2021-01-08 10:30:00-05:00,2021-01-08,10:30:00
30,508.4100036621094,512.1799926757812,507.1000061035156,511.5,511.5,281030,2021-01-08 11:30:00-05:00,2021-01-08,11:30:00
31,511.30999755859375,512.60498046875,508.1835021972656,509.4700012207031,509.4700012207031,236355,2021-01-08 12:30:00-05:00,2021-01-08,12:30:00
32,509.3900146484375,509.8999938964844,506.8301086425781,509.0799865722656,509.0799865722656,232920,2021-01-08 13:30:00-05:00,2021-01-08,13:30:00
33,509.1488037109375,511.6330871582031,509.1300048828125,510.3299865722656,510.3299865722656,302465,2021-01-08 14:30:00-05:00,2021-01-08,14:30:00
