Hashtag,date,likes,retweets,compound,Weights,Total_Weighted_Score
$AAPL,2020-12-28 04:00:00,5.2727272727272725,0.045454545454545456,0.14380909090909091,53.183181818181815,9.041318181818182
$AAPL,2020-12-28 05:00:00,4.2105263157894735,0.10526315789473684,0.10537368421052631,43.15842105263158,4.691315789473684
$AAPL,2020-12-28 06:00:00,2.75,0.0,0.0856375,27.5025,3.97575
$AAPL,2020-12-28 07:00:00,5.785714285714286,0.03571428571428571,-0.045399999999999996,58.214642857142856,-0.3139642857142861
$AAPL,2020-12-28 08:00:00,4.0,0.42857142857142855,0.03132857142857142,44.29,20.244939571428574
$AAPL,2020-12-28 09:00:00,2.25,0.0,0.015137499999999998,22.50375,4.861027375000001
$AAPL,2020-12-28 10:00:00,2.857142857142857,0.2857142857142857,-0.019657142857142856,31.430714285714288,1.6105028571428572
$AAPL,2020-12-28 11:00:00,1.8,0.0,0.21824000000000002,18.004666666666665,6.865940466666667
$AAPL,2020-12-28 12:00:00,2.441860465116279,0.11627906976744186,0.08731162790697675,25.584418604651166,2.609098023255814
$AAPL,2020-12-28 13:00:00,5.175,0.025,0.1194825,52.001,11.462369800000001
$AAPL,2020-12-28 14:00:00,1.5271317829457365,0.06201550387596899,0.10913255813953489,15.895116279069766,0.8222965891472868
$AAPL,2020-12-28 15:00:00,1.4357142857142857,0.07857142857142857,0.10427,15.148071428571429,3.246021128571429
$AAPL,2020-12-28 16:00:00,2.3121951219512193,0.03414634146341464,0.11782536585365853,23.465365853658536,2.8199584536585367
$AAPL,2020-12-28 17:00:00,2.1743119266055047,0.07339449541284404,0.14325412844036697,22.48,3.8422385871559634
$AAPL,2020-12-28 18:00:00,1.5064935064935066,0.025974025974025976,0.10482857142857142,15.328441558441558,1.6116714285714286
$AAPL,2020-12-28 19:00:00,1.6475409836065573,0.01639344262295082,0.11120655737704918,16.642377049180325,1.7775333770491804
$AAPL,2020-12-28 20:00:00,1.6962962962962962,0.05925925925925926,0.0850888888888889,17.559037037037037,1.2784386592592594
$AAPL,2020-12-28 21:00:00,3.44,0.09333333333333334,0.16987733333333332,35.3356,7.756107786666666
$AAPL,2020-12-28 22:00:00,3.382716049382716,0.07407407407407407,0.16281358024691356,34.56987654320987,2.6262322592592593
$AAPL,2020-12-28 23:00:00,3.185185185185185,0.05555555555555555,0.19645555555555558,32.409814814814816,5.72193362962963
$AAPL,2020-12-29 00:00:00,3.4545454545454546,0.0,0.09696818181818183,34.54886363636364,1.0530682500000002
$AAPL,2020-12-29 01:00:00,2.963636363636364,0.05454545454545454,0.15536545454545453,30.18490909090909,3.7324824
$AAPL,2020-12-29 02:00:00,3.4680851063829787,0.0851063829787234,0.12111063829787233,35.53382978723404,6.100893617021277
$AAPL,2020-12-29 03:00:00,2.375,0.03125,0.23985,24.0665625,9.928120406249999
$AAPL,2020-12-29 04:00:00,3.8620689655172415,0.13793103448275862,0.2578620689655172,40.001724137931035,7.606399137931034
$AAPL,2020-12-29 05:00:00,6.583333333333333,0.041666666666666664,0.25128333333333336,66.25208333333333,26.432269791666666
$AAPL,2020-12-29 06:00:00,3.8095238095238093,0.09523809523809523,0.19816666666666669,39.05,6.765530047619047
$AAPL,2020-12-29 07:00:00,5.071428571428571,0.07142857142857142,-0.009242857142857145,51.42928571428571,-1.6450137142857142
$AAPL,2020-12-29 08:00:00,4.857142857142857,0.14285714285714285,0.02125,50.00071428571429,0.03021428571428559
$AAPL,2020-12-29 09:00:00,3.411764705882353,0.0,0.13372352941176469,34.11941176470588,4.722037
$AAPL,2020-12-29 10:00:00,3.5384615384615383,0.0,0.13833076923076923,35.385384615384616,4.041307692307692
$AAPL,2020-12-29 11:00:00,2.7857142857142856,0.07142857142857142,0.03444285714285714,28.575,0.3865584285714286
$AAPL,2020-12-29 12:00:00,2.533333333333333,0.06666666666666667,0.166916,26.001866666666665,4.371341506666667
$AAPL,2020-12-29 13:00:00,2.462686567164179,0.07462686567164178,0.11936268656716419,25.375074626865672,3.8303018208955226
$AAPL,2020-12-29 14:00:00,1.1699346405228759,0.026143790849673203,0.08841372549019608,11.964575163398692,0.555173862745098
$AAPL,2020-12-29 15:00:00,1.3879781420765027,0.01639344262295082,0.08930491803278688,14.048032786885246,1.3283926338797816
$AAPL,2020-12-29 16:00:00,1.5045871559633028,0.07339449541284404,0.0781211009174312,15.783119266055047,1.4265192385321102
$AAPL,2020-12-29 17:00:00,1.8627450980392157,0.029411764705882353,0.0027725490196078405,18.92578431372549,0.7647393823529413
$AAPL,2020-12-29 18:00:00,1.4406779661016949,0.05084745762711865,0.11489999999999999,14.918983050847459,2.7223137627118645
$AAPL,2020-12-29 19:00:00,1.47,0.01,0.037039,14.8039,1.22850123
$AAPL,2020-12-29 20:00:00,1.75,0.03787878787878788,0.07475606060606062,17.882727272727273,3.8218742196969693
$AAPL,2020-12-29 21:00:00,2.3085106382978724,0.07446808510638298,0.12845957446808512,23.83340425531915,5.791326425531915
$AAPL,2020-12-29 22:00:00,2.909090909090909,0.05454545454545454,0.20626727272727272,29.639454545454548,5.297155909090909
$AAPL,2020-12-29 23:00:00,2.0425531914893615,0.02127659574468085,0.13183617021276595,20.642340425531916,2.5317467021276596
$AAPL,2020-12-30 00:00:00,1.975609756097561,0.0975609756097561,0.14299268292682926,20.735365853658536,0.1026835609756098
$AAPL,2020-12-30 01:00:00,1.8333333333333333,0.1,0.07224333333333334,19.337,2.6027197666666666
$AAPL,2020-12-30 02:00:00,4.275862068965517,0.034482758620689655,0.06793793103448277,43.10448275862069,0.4008405862068964
